catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge
Ag@B1C1N1,-54724.86027,-50745.46318,-58808.23917,-58840.70760,-0.676017517,0.158542
Ag@B1C1N1O1,-54717.35560,-50717.88243,-58800.11853,-58833.46601,-0.411573764,0.460985
Ag@B1C1N1P1,-61948.28183,-57950.45855,-66031.44522,-66064.39554,-0.484949946,0.217975
Ag@B1C1N1S1,-63494.71606,-59497.44615,-67577.96448,-67610.94022,-0.457057121,0.379208
Ag@B1C1N2-hex,-54162.23094,-50161.48363,-58245.40039,-58278.49548,-0.421016046,0.505285
Ag@B1C1N2-opp,-54161.71208,-50161.46741,-58244.91463,-58277.77621,-0.443122209,0.610291
Ag@B1C1N2-pen,-54161.89033,-50161.24474,-58244.71467,-58278.06455,-0.420779696,0.533616
Ag@B1C1O1,-55277.72308,-51301.09841,-59361.10436,-59393.76014,-0.684218783,0.166497
Ag@B1C1O1S1,-64049.35520,-60053.24075,-68132.41464,-68165.48254,-0.459553811,0.359472
Ag@B1C1O2-hex,-55271.66731,-51273.49656,-59354.64354,-59387.95499,-0.42206959,0.449839
Ag@B1C1O2-opp,-55270.41932,-51272.43392,-59353.56164,-59386.51214,-0.445006599,0.660689
Ag@B1C1O2-pen,-55271.07613,-51272.01802,-59354.14527,-59387.12147,-0.421151756,0.483142
Ag@B1C2N1-hex,-53708.06813,-49707.85107,-57791.38703,-57824.41903,-0.445769735,0.488641
Ag@B1C2N1-opp,-53708.36867,-49707.51981,-57791.21348,-57824.59005,-0.425979165,0.460601
Ag@B1C2N1-pen,-53708.63863,-49707.77475,-57791.63504,-57824.72039,-0.437658877,0.485843
Ag@B1C2O1-hex,-54262.37840,-50262.92238,-58345.56719,-58378.77203,-0.441918708,0.491776
Ag@B1C2O1-opp,-54263.18216,-50263.22639,-58346.52228,-58379.39397,-0.39615311,0.411632
Ag@B1C2O1-pen,-54263.30218,-50263.54696,-58346.27843,-58379.60433,-0.423502535,0.47247
Ag@B1N1O1,-55730.32629,-51755.02100,-59813.44423,-59846.23431,-0.67043034,0.470972
Ag@B1N1O2-hex,-55724.34822,-51727.02829,-59807.37743,-59840.39628,-0.438208468,0.599687
Ag@B1N1O2-opp,-55723.85230,-51726.64361,-59806.97728,-59839.95350,-0.431280077,0.679967
Ag@B1N1O2-pen,-55724.15589,-51726.61206,-59807.26247,-59840.14909,-0.439154306,0.626551
Ag@B1N1S1,-64499.25513,-60534.76166,-68582.46900,-68615.18733,-0.75331991,-0.552763
Ag@B1N2,-55176.89868,-51199.53493,-59260.08379,-59292.80173,-0.66455865,0.439592
Ag@B1N2O1-hex,-55169.09576,-51170.18379,-59251.99443,-59285.28452,-0.433658053,0.65125
Ag@B1N2O1-opp,-55170.18186,-51171.05647,-59253.43358,-59286.33584,-0.424480756,0.589242
Ag@B1N2O1-pen,-55170.19328,-51171.31806,-59253.00355,-59286.10172,-0.430672878,0.634702
Ag@B1N2S1-hex,-63948.41123,-59950.87030,-68031.46486,-68064.44031,-0.479179539,0.478041
Ag@B1N2S1-opp,-63947.95993,-59951.24637,-68031.04217,-68064.03712,-0.476277934,0.518515
Ag@B1N2S1-pen,-63948.16418,-59951.03898,-68031.19896,-68064.26404,-0.469315812,0.475927
Ag@B1N3,-54615.09332,-50614.99151,-58698.59558,-58731.22660,-0.430543083,0.621273
Ag@B1O1S1,-65052.85178,-61089.54090,-69136.17060,-69168.72229,-0.749489899,-0.540067
Ag@B1O2,-56283.62848,-52310.37061,-60366.98386,-60399.38317,-0.683596004,0.578258
Ag@B1O2S1-hex,-65056.88133,-61062.44165,-69140.26776,-69173.15496,-0.479834773,0.458682
Ag@B1O2S1-opp,-65055.81720,-61061.94769,-69139.16761,-69171.79088,-0.458590535,0.528456
Ag@B1O2S1-pen,-65056.29117,-61061.94948,-69139.46245,-69172.43557,-0.471421473,0.476868
Ag@C1N1O1,-56089.07515,-52113.77062,-60172.16938,-60205.09061,-0.667921202,0.759772
Ag@C1N1O1P1,-63316.05751,-59318.59461,-67399.14848,-67432.21041,-0.509426705,0.562833
Ag@C1N1O1S1,-64861.77042,-60866.22513,-68945.23798,-68977.88898,-0.481287109,0.787829
Ag@C1N1O2-hex,-56084.19224,-52086.22053,-60167.33575,-60200.29167,-0.445790913,0.921993
Ag@C1N1O2-opp,-56084.15481,-52086.49578,-60167.42302,-60200.29826,-0.417613762,0.922834
