catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge,,property
Ag@B1C1N1O1,-54717.3556,-50717.88243,-58800.11853,-58833.46601,-0.411573764,0.460985,,-2.76293
Ag@B1C1N1P1,-61948.28183,-57950.45855,-66031.44522,-66064.39554,-0.484949946,0.217975,,-3.16339
Ag@B1C1N1S1,-63494.71606,-59497.44615,-67577.96448,-67610.94022,-0.457057121,0.379208,,-3.24842
Ag@B1C1N2-hex,-54162.23094,-50161.48363,-58245.40039,-58278.49548,-0.421016046,0.505285,,-3.16945
Ag@B1C1N2-opp,-54161.71208,-50161.46741,-58244.91463,-58277.77621,-0.443122209,0.610291,,-3.20255
Ag@B1C1N2-pen,-54161.89033,-50161.24474,-58244.71467,-58278.06455,-0.420779696,0.533616,,-2.82434
Ag@B1C1O1S1,-64049.3552,-60053.24075,-68132.41464,-68165.48254,-0.459553811,0.359472,,-3.05944
Ag@B1C1O2-hex,-55271.66731,-51273.49656,-59354.64354,-59387.95499,-0.42206959,0.449839,,-2.97623
Ag@B1C1O2-opp,-55270.41932,-51272.43392,-59353.56164,-59386.51214,-0.445006599,0.660689,,-3.14232
Ag@B1C1O2-pen,-55271.07613,-51272.01802,-59354.14527,-59387.12147,-0.421151756,0.483142,,-3.06914
Ag@B1C2N1-hex,-53708.06813,-49707.85107,-57791.38703,-57824.41903,-0.445769735,0.488641,,-3.3189
Ag@B1C2N1-opp,-53708.36867,-49707.51981,-57791.21348,-57824.59005,-0.425979165,0.460601,,-2.84481
Ag@B1C2N1-pen,-53708.63863,-49707.77475,-57791.63504,-57824.72039,-0.437658877,0.485843,,-2.99641
Ag@B1C2O1-hex,-54262.3784,-50262.92238,-58345.56719,-58378.77203,-0.441918708,0.491776,,-3.18879
Ag@B1C2O1-opp,-54263.18216,-50263.22639,-58346.52228,-58379.39397,-0.39615311,0.411632,,-3.34012
Ag@B1C2O1-pen,-54263.30218,-50263.54696,-58346.27843,-58379.60433,-0.423502535,0.47247,,-2.97625
Ag@B1N1O2-hex,-55724.34822,-51727.02829,-59807.37743,-59840.39628,-0.438208468,0.599687,,-3.02921
Ag@B1N1O2-opp,-55723.8523,-51726.64361,-59806.97728,-59839.9535,-0.431280077,0.679967,,-3.12498
Ag@B1N1O2-pen,-55724.15589,-51726.61206,-59807.26247,-59840.14909,-0.439154306,0.626551,,-3.10658
Ag@B1N2O1-hex,-55169.09576,-51170.18379,-59251.99443,-59285.28452,-0.433658053,0.65125,,-2.89867
Ag@B1N2O1-opp,-55170.18186,-51171.05647,-59253.43358,-59286.33584,-0.424480756,0.589242,,-3.25172
Ag@B1N2O1-pen,-55170.19328,-51171.31806,-59253.00355,-59286.10172,-0.430672878,0.634702,,-2.81027
Ag@B1N2S1-hex,-63948.41123,-59950.8703,-68031.46486,-68064.44031,-0.479179539,0.478041,,-3.05363
Ag@B1N2S1-opp,-63947.95993,-59951.24637,-68031.04217,-68064.03712,-0.476277934,0.518515,,-3.08224
Ag@B1N2S1-pen,-63948.16418,-59951.03898,-68031.19896,-68064.26404,-0.469315812,0.475927,,-3.03478
Ag@B1N3,-54615.09332,-50614.99151,-58698.59558,-58731.2266,-0.430543083,0.621273,,-3.50226
Ag@B1O2S1-hex,-65056.88133,-61062.44165,-69140.26776,-69173.15496,-0.479834773,0.458682,,-3.38643
Ag@B1O2S1-opp,-65055.8172,-61061.94769,-69139.16761,-69171.79088,-0.458590535,0.528456,,-3.35041
Ag@B1O2S1-pen,-65056.29117,-61061.94948,-69139.46245,-69172.43557,-0.471421473,0.476868,,-3.17128
Ag@C1N1O1P1,-63316.05751,-59318.59461,-67399.14848,-67432.21041,-0.509426705,0.562833,,-3.09097
Ag@C1N1O1S1,-64861.77042,-60866.22513,-68945.23798,-68977.88898,-0.481287109,0.787829,,-3.46756
