true,pred,error
-60730.23828125,-60889.2421875,159.00390625
-60176.51171875,-60378.44921875,201.9375
-110254.96875,-108243.4609375,-2011.5078125
-92780.671875,-92474.6171875,-306.0546875
-68492.484375,-68528.7265625,36.2421875
-103575.4375,-103088.1953125,-487.2421875
-101198.9921875,-101139.8984375,-59.09375
-102013.796875,-101849.5703125,-164.2265625
-59354.14453125,-59761.23828125,407.09375
-58355.78515625,-58838.71875,482.93359375
-68031.1953125,-68125.8671875,94.671875
-59261.50390625,-59722.375,460.87109375
-67954.3125,-67976.515625,22.203125
-103122.6953125,-102791.9921875,-330.703125
-92872.078125,-92647.640625,-224.4375
-102013.5390625,-101839.1875,-174.3515625
-67852.8515625,-67908.765625,55.9140625
-68132.4140625,-68173.9375,41.5234375
-94241.453125,-93822.6015625,-418.8515625
-68492.4296875,-68530.140625,37.7109375
-68500.5625,-68577.4921875,76.9296875
-67508.9375,-67646.9375,138.0
-59251.99609375,-59769.9296875,517.93359375
-103021.203125,-102620.328125,-400.875
-59815.9765625,-60185.234375,369.2578125
-59723.18359375,-59904.8515625,181.66796875
-69952.703125,-69756.8359375,-195.8671875
-59715.078125,-59960.33203125,245.25390625
-101652.5078125,-101449.6953125,-202.8125
-58346.27734375,-58888.7421875,542.46484375
-68945.234375,-68850.7578125,-94.4765625
-78300.3359375,-78019.609375,-280.7265625
-101560.1171875,-101526.4765625,-33.640625
-69406.9140625,-69333.8203125,-73.09375
-60167.1484375,-60418.9609375,251.8125
-68516.4375,-68589.1484375,72.7109375
-68406.96875,-68447.6953125,40.7265625
-102114.9140625,-101999.3046875,-115.609375
-93233.625,-92890.796875,-342.828125
-57791.38671875,-58472.8046875,681.41796875
-60730.55078125,-60884.25390625,153.703125
-67953.6328125,-67976.3671875,22.734375
-58808.73046875,-59265.11328125,456.3828125
-68406.4453125,-68413.3671875,6.921875
-58698.59375,-59347.171875,648.578125
-61184.59375,-61386.30859375,201.71484375
-102567.734375,-102313.75,-253.984375
-59807.26171875,-60223.6796875,416.41796875
-60620.2265625,-60904.41015625,284.18359375
-68500.46875,-68617.65625,117.1875
-60277.43359375,-60402.0390625,124.60546875
-92873.265625,-92639.5703125,-233.6953125
-69507.609375,-69438.0234375,-69.5859375
