true,pred,error
-60763.48046875,-60738.5078125,-24.97265625
-60209.3046875,-60268.58984375,59.28515625
-110287.90625,-109204.578125,-1083.328125
-92813.6171875,-92834.5859375,20.96875
-68525.625,-68500.2265625,-25.3984375
-103608.46875,-103758.0703125,149.6015625
-101231.8125,-101677.7734375,445.9609375
-102046.5,-102419.3359375,372.8359375
-59387.12109375,-59623.1953125,236.07421875
-58388.5078125,-58771.02734375,382.51953125
-68064.265625,-68109.96875,45.703125
-59294.34375,-59667.26171875,372.91796875
-67987.328125,-67952.96875,-34.359375
-103155.4765625,-103476.28125,320.8046875
-92905.5546875,-93050.4921875,144.9375
-102046.609375,-102409.609375,363.0
-67885.8828125,-67873.1953125,-12.6875
-68165.484375,-68170.8359375,5.3515625
-94274.4140625,-94290.171875,15.7578125
-68525.375,-68514.3359375,-11.0390625
-68533.703125,-68518.8046875,-14.8984375
-67542.3671875,-67572.1640625,29.796875
-59285.28515625,-59670.46875,385.18359375
-103054.0703125,-103230.453125,176.3828125
-59849.09375,-60091.125,242.03125
-59756.3203125,-59806.703125,50.3828125
-69985.515625,-69713.59375,-271.921875
-59748.0625,-59789.078125,41.015625
-101685.4765625,-101981.5078125,296.03125
-58379.60546875,-58744.77734375,365.171875
-68977.890625,-68842.2265625,-135.6640625
-78333.078125,-78373.7578125,40.6796875
-101593.2109375,-102107.3125,514.1015625
-69439.640625,-69260.3828125,-179.2578125
-60200.2578125,-60258.27734375,58.01953125
-68549.1796875,-68501.734375,-47.4453125
-68440.1328125,-68418.578125,-21.5546875
-102147.8359375,-102642.9453125,495.109375
-93266.953125,-93302.609375,35.65625
-57824.41796875,-58346.4921875,522.07421875
-60763.94140625,-60727.21875,-36.72265625
-67986.671875,-67965.5703125,-21.1015625
-58841.56640625,-59206.57421875,365.0078125
-68439.578125,-68372.0234375,-67.5546875
-58731.2265625,-59270.453125,539.2265625
-61217.5546875,-61211.8828125,-5.671875
-102600.5703125,-102936.046875,335.4765625
-59840.1484375,-60100.80078125,260.65234375
-60653.08984375,-60752.19140625,99.1015625
-68533.2421875,-68562.890625,29.6484375
-60310.046875,-60258.84375,-51.203125
-92906.109375,-93042.5546875,136.4453125
-69540.6953125,-69381.9140625,-158.78125
