true,pred,error
-52086.21875,-52032.73828125,-53.48046875
-51530.46875,-51442.7265625,-87.7421875
-68553.5078125,-68474.9296875,-78.578125
-51076.48828125,-50993.828125,-82.66015625
-60411.8203125,-60116.39453125,-295.42578125
-61876.22265625,-61859.5,-16.72265625
-59497.4453125,-59501.80078125,4.35546875
-60310.484375,-60181.15234375,-129.33203125
-51272.01953125,-51209.36328125,-62.65625
-49707.51953125,-49750.55859375,43.0390625
-59951.0390625,-59640.85546875,-310.18359375
-50614.9921875,-50556.12890625,-58.86328125
-59874.5625,-59867.29296875,-7.26953125
-61422.00390625,-61252.046875,-169.95703125
-51170.18359375,-51086.1328125,-84.05078125
-60310.55078125,-60248.92578125,-61.625
-59772.85546875,-59700.359375,-72.49609375
-60053.2421875,-59927.72265625,-125.51953125
-52540.203125,-52535.05859375,-5.14453125
-60411.984375,-60180.9375,-231.046875
-59857.03515625,-59767.5703125,-89.46484375
-58865.6875,-59071.5078125,205.8203125
-51170.18359375,-51070.48828125,-99.6953125
-61319.859375,-61192.5703125,-127.2890625
-51171.31640625,-51088.43359375,-82.8828125
-51077.08203125,-51005.5625,-71.51953125
-61876.1796875,-61850.359375,-25.8203125
-51632.96484375,-51565.71875,-67.24609375
-59951.24609375,-59892.26171875,-58.984375
-50263.546875,-50243.0703125,-20.4765625
-60866.2265625,-60670.375,-195.8515625
-69663.921875,-69762.8515625,98.9296875
-59856.546875,-59758.33984375,-98.20703125
-60764.2734375,-60522.51171875,-241.76171875
-52086.20703125,-51997.73046875,-88.4765625
-59874.5625,-59953.5546875,78.9921875
-60329.05078125,-60253.7421875,-75.30859375
-60412.06640625,-60203.95703125,-208.109375
-51530.2109375,-51447.30859375,-82.90234375
-49707.8515625,-49747.23828125,39.38671875
-52086.1953125,-52029.95703125,-56.23828125
-59874.8671875,-59929.64453125,54.77734375
-50161.24609375,-50145.97265625,-15.2734375
-60328.5859375,-60284.1484375,-44.4375
-50614.9921875,-50543.65234375,-71.33984375
-52540.046875,-52491.0078125,-49.0390625
-60866.2265625,-60775.37109375,-90.85546875
-51726.61328125,-51636.39453125,-90.21875
-52539.76953125,-52441.1015625,-98.66796875
-59856.5625,-59678.58984375,-177.97265625
-51631.69921875,-51564.20703125,-67.4921875
-51171.0546875,-51093.1640625,-77.890625
-60866.2265625,-60767.20703125,-99.01953125
