Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
CBON-Ag,3.983,2.905,0.461,0.937,1.078,2.444,0.461,0.461,4
CBON-Au,3.219,1.926,-0.349,1.701,1.293,2.276,-0.349,-0.349,4
CBON-Co,3.496,1.246,0.06,1.424,2.25,1.186,0.06,0.06,4
CBON-Cu,4.354,3.272,1.165,0.566,1.082,2.107,1.165,0.566,1
CBON-Fe,3.202,0.793,-0.302,1.718,2.409,1.095,-0.302,-0.302,4
CBON-Hg,4.933,3.753,1.484,-0.013,1.18,2.269,1.484,-0.013,1
CBON-Ir,2.933,0.532,0.098,1.987,2.401,0.434,0.098,0.098,4
CBON-Mn,3.31,0.397,-0.167,1.61,2.912,0.564,-0.167,-0.167,4
CBON-Ni,4.425,2.771,1.154,0.495,1.654,1.617,1.154,0.495,1
CBON-Pd,4.777,3.146,1.303,0.143,1.63,1.843,1.303,0.143,1
CBON-Pt,4.364,2.514,1.113,0.556,1.85,1.402,1.113,0.556,1
CBON-Rh,3.213,1.11,-0.017,1.707,2.103,1.127,-0.017,-0.017,4
CBON-Sc,1.268,-0.728,-2.09,3.652,1.996,1.362,-2.09,-2.09,4
CBON-Y,1.273,-0.387,-2.142,3.647,1.661,1.754,-2.142,-2.142,4
CBON-Zn,3.428,2.232,-0.106,1.492,1.196,2.338,-0.106,-0.106,4
CBOP-Ag,3.549,2.543,0.105,1.371,1.006,2.438,0.105,0.105,4
CBOP-Au,3.151,1.733,-0.438,1.769,1.418,2.171,-0.438,-0.438,4
CBOP-Cd,4.276,3.14,0.746,0.644,1.136,2.393,0.746,0.644,1
CBOP-Co,3.315,0.882,-0.184,1.605,2.433,1.066,-0.184,-0.184,4
CBOP-Cu,4.15,2.84,0.589,0.77,1.311,2.25,0.589,0.589,4
CBOP-Fe,3.248,0.579,-0.178,1.672,2.669,0.757,-0.178,-0.178,4
CBOP-Hf,1.483,-1.106,-1.963,3.437,2.588,0.858,-1.963,-1.963,4
CBOP-Hg,5.132,3.572,1.668,-0.212,1.56,1.904,1.668,-0.212,1
CBOP-Ir,2.842,0.503,-0.348,2.078,2.339,0.851,-0.348,-0.348,4
CBOP-Mn,2.883,0.258,-0.53,2.037,2.625,0.788,-0.53,-0.53,4
CBOP-Mo,2.422,-0.722,-0.971,2.498,3.144,0.248,-0.971,-0.971,4
CBOP-Ni,4.112,2.361,0.704,0.808,1.752,1.657,0.704,0.704,4
CBOP-Pt,3.653,1.444,0.148,1.267,2.209,1.296,0.148,0.148,4
CBOP-Rh,3.21,1.424,-0.053,1.71,1.785,1.477,-0.053,-0.053,4
CBOP-Ru,3.008,0.415,-0.177,1.912,2.593,0.592,-0.177,-0.177,4
CBOP-Zn,3.518,2.009,-0.159,1.402,1.509,2.167,-0.159,-0.159,4
CBOP-Zr,1.723,-1.019,-1.656,3.197,2.742,0.638,-1.656,-1.656,4
CBOS-Ag,3.828,2.762,0.282,1.092,1.065,2.48,0.282,0.282,4
