materials,property,LSm,HSm,dCSm,pCHa,FLs,ECSm,EISm,EASm,EFs,AEAHa,RSm,ARpHa,MdLSm,DSm,AqHa,ENSm,NdSm
CBON-6-Ag,0.4607,-3.8403,-4.5659,-3.7706,-3.48967,-3.7803,-2.0183,7.576,1.302,3.14247,0.85145,1.6,0.61175,4.45,10.49,0.43015,1.93,10.0
CBON-6-Au,-0.34931,-5.2426,-5.9456,-3.2861,-3.48967,-3.7803,-2.4188,9.225,2.309,3.14247,0.85145,1.35,0.61175,5.15,19.3,0.43015,2.54,10.0
CBON-6-Co,0.06025,-3.9152,-3.9463,-1.6744,-3.48967,-3.7803,-5.1966,7.881,0.66,3.14247,0.85145,1.35,0.61175,5.1,8.9,0.43015,1.88,7.0
CBON-6-Cu,0.56553,-3.9515,-4.7251,-2.3336,-3.48967,-3.7803,-3.0383,7.727,1.227,3.14247,0.85145,1.35,0.61175,4.55,8.96,0.43015,1.9,10.0
CBON-6-Fe,-0.3024,-4.2604,-4.3671,-1.1981,-3.48967,-3.7803,-4.8008,7.903,0.163,3.14247,0.85145,1.4,0.61175,4.93,7.874,0.43015,1.83,6.0
CBON-6-Hg,-0.01332,-0.7065,-6.681,-6.1561,-3.48967,-3.7803,0.3374,10.438,0.0,3.14247,0.85145,1.5,0.61175,4.2,13.534,0.43015,2.0,10.0
CBON-6-Ir,0.09762,-4.9944,-5.0181,-2.4149,-3.48967,-3.7803,-7.0859,9.12,1.57,3.14247,0.85145,1.35,0.61175,5.55,22.56,0.43015,2.2,7.0
CBON-6-Mn,-0.16692,-3.4853,-4.3042,-0.5789,-3.48967,-3.7803,-3.1315,7.434,0.0,3.14247,0.85145,1.4,0.61175,4.45,7.47,0.43015,1.55,5.0
CBON-6-Ni,0.49501,-3.7066,-3.88,-1.5395,-3.48967,-3.7803,-4.4744,7.64,1.16,3.14247,0.85145,1.35,0.61175,5.2,8.908,0.43015,1.91,8.0
CBON-6-Pd,0.14328,-3.2381,-3.9768,-1.4843,-3.48967,-3.7803,-3.0964,8.337,0.557,3.14247,0.85145,1.4,0.61175,5.45,12.023,0.43015,2.2,10.0
CBON-6-Pt,0.55595,-4.9378,-5.5279,-2.3468,-3.48967,-3.7803,-4.9436,9.02,2.128,3.14247,0.85145,1.35,0.61175,5.65,21.45,0.43015,2.28,9.0
CBON-6-Rh,-0.01662,-3.2357,-3.9932,-1.7582,-3.48967,-3.7803,-5.4804,7.459,1.137,3.14247,0.85145,1.35,0.61175,5.4,12.45,0.43015,2.28,8.0
CBON-6-Sc,-2.0901,-3.2576,-3.8073,2.2982,-3.48967,-3.7803,-4.1601,6.562,0.188,3.14247,0.85145,1.6,0.61175,3.25,2.985,0.43015,1.36,1.0
CBON-6-Y,-2.14153,-2.4603,-3.602,2.5942,-3.48967,-3.7803,-4.2729,6.22,0.307,3.14247,0.85145,1.8,0.61175,3.2,4.472,0.43015,1.22,1.0
CBON-6-Zn,-0.1057,-0.6498,-5.8522,-6.6672,-3.48967,-3.7803,-0.717,9.394,0.0,3.14247,0.85145,1.35,0.61175,4.1,7.14,0.43015,1.65,10.0
CBOP-6-Ag,0.10524,-3.8403,-4.5659,-3.7706,-3.19784,-3.5904,-2.0183,7.576,1.302,5.31172,1.0197,1.6,0.7255,4.45,10.49,-0.96245,1.93,10.0
CBOP-6-Au,-0.43799,-5.2426,-5.9456,-3.2861,-3.19784,-3.5904,-2.4188,9.225,2.309,5.31172,1.0197,1.35,0.7255,5.15,19.3,-0.96245,2.54,10.0
CBOP-6-Cd,0.64446,-0.7368,-5.4994,-7.6339,-3.19784,-3.5904,-0.3509,8.994,0.0,5.31172,1.0197,1.55,0.7255,4.05,8.65,-0.96245,1.69,10.0
CBOP-6-Co,-0.1838,-3.9152,-3.9463,-1.6744,-3.19784,-3.5904,-5.1966,7.881,0.66,5.31172,1.0197,1.35,0.7255,5.1,8.9,-0.96245,1.88,7.0
CBOP-6-Cu,0.5892,-3.9515,-4.7251,-2.3336,-3.19784,-3.5904,-3.0383,7.727,1.227,5.31172,1.0197,1.35,0.7255,4.55,8.96,-0.96245,1.9,10.0
CBOP-6-Fe,-0.17815,-4.2604,-4.3671,-1.1981,-3.19784,-3.5904,-4.8008,7.903,0.163,5.31172,1.0197,1.4,0.7255,4.93,7.874,-0.96245,1.83,6.0
CBOP-6-Hf,-1.96347,-2.9349,-4.3792,2.1396,-3.19784,-3.5904,-6.4029,6.825,0.0,5.31172,1.0197,1.55,0.7255,3.55,13.31,-0.96245,1.3,2.0
CBOP-6-Hg,-0.21217,-0.7065,-6.681,-6.1561,-3.19784,-3.5904,0.3374,10.438,0.0,5.31172,1.0197,1.5,0.7255,4.2,13.534,-0.96245,2.0,10.0
CBOP-6-Ir,-0.34765,-4.9944,-5.0181,-2.4149,-3.19784,-3.5904,-7.0859,9.12,1.57,5.31172,1.0197,1.35,0.7255,5.55,22.56,-0.96245,2.2,7.0
CBOP-6-Mn,-0.53019,-3.4853,-4.3042,-0.5789,-3.19784,-3.5904,-3.1315,7.434,0.0,5.31172,1.0197,1.4,0.7255,4.45,7.47,-0.96245,1.55,5.0
CBOP-6-Mo,-0.97089,-1.7437,-4.5378,-0.1961,-3.19784,-3.5904,-5.705,7.092,0.745,5.31172,1.0197,1.45,0.7255,4.65,10.28,-0.96245,2.16,5.0
CBOP-6-Ni,0.70365,-3.7066,-3.88,-1.5395,-3.19784,-3.5904,-4.4744,7.64,1.16,5.31172,1.0197,1.35,0.7255,5.2,8.908,-0.96245,1.91,8.0
CBOP-6-Pt,0.14814,-4.9378,-5.5279,-2.3468,-3.19784,-3.5904,-4.9436,9.02,2.128,5.31172,1.0197,1.35,0.7255,5.65,21.45,-0.96245,2.28,9.0
CBOP-6-Rh,-0.05292,-3.2357,-3.9932,-1.7582,-3.19784,-3.5904,-5.4804,7.459,1.137,5.31172,1.0197,1.35,0.7255,5.4,12.45,-0.96245,2.28,8.0
CBOP-6-Ru,-0.17694,-3.7016,-4.6195,-1.515,-3.19784,-3.5904,-6.5823,7.361,1.05,5.31172,1.0197,1.3,0.7255,5.4,12.37,-0.96245,2.2,7.0
CBOP-6-Zn,-0.15866,-0.6498,-5.8522,-6.6672,-3.19784,-3.5904,-0.717,9.394,0.0,5.31172,1.0197,1.35,0.7255,4.1,7.14,-0.96245,1.65,10.0
CBOP-6-Zr,-1.65627,-2.7471,-2.8313,1.7376,-3.19784,-3.5904,-6.2538,6.634,0.426,5.31172,1.0197,1.55,0.7255,3.4,6.511,-0.96245,1.33,2.0
CBOS-6-Ag,0.28245,-3.8403,-4.5659,-3.7706,-3.97881,-3.1559,-2.0183,7.576,1.302,4.66592,1.35145,1.6,0.69475,4.45,10.49,-0.96032,1.93,10.0
CBOS-6-Au,-0.25173,-5.2426,-5.9456,-3.2861,-3.97881,-3.1559,-2.4188,9.225,2.309,4.66592,1.35145,1.35,0.69475,5.15,19.3,-0.96032,2.54,10.0
