metal,coord,structure,variant
Ag,3,Ag_B1C1N1,
Ag,3,Ag_B1C1O1,
Ag,3,Ag_B1C1P1,
Ag,3,Ag_B1C1S1,
Ag,3,Ag_B1C2,
Ag,3,Ag_B1N1O1,
Ag,3,Ag_B1N1P1,
Ag,3,Ag_B1N1S1,
Ag,3,Ag_B1N2,
Ag,3,Ag_B1O1P1,
Ag,3,Ag_B1O1S1,
Ag,3,Ag_B1O2,
Ag,3,Ag_B1P1S1,
Ag,3,Ag_B1P2,
Ag,3,Ag_B1S2,
Ag,3,Ag_B2C1,
Ag,3,Ag_B2N1,
Ag,3,Ag_B2O1,
Ag,3,Ag_B2P1,
Ag,3,Ag_B2S1,
Ag,3,Ag_B3,
Ag,3,Ag_C1N1O1,
Ag,3,Ag_C1N1P1,
Ag,3,Ag_C1N1S1,
Ag,3,Ag_C1N2,
Ag,3,Ag_C1O1P1,
Ag,3,Ag_C1O1S1,
Ag,3,Ag_C1O2,
Ag,3,Ag_C1P1S1,
Ag,3,Ag_C1P2,
Ag,3,Ag_C1S2,
Ag,3,Ag_C2N1,
Ag,3,Ag_C2O1,
Ag,3,Ag_C2P1,
Ag,3,Ag_C2S1,
Ag,3,Ag_C3,
Ag,3,Ag_N1O1P1,
Ag,3,Ag_N1O1S1,
Ag,3,Ag_N1O2,
Ag,3,Ag_N1P1S1,
Ag,3,Ag_N1P2,
Ag,3,Ag_N1S2,
Ag,3,Ag_N2O1,
Ag,3,Ag_N2P1,
Ag,3,Ag_N2S1,
Ag,3,Ag_N3,
Ag,3,Ag_O1P1S1,
Ag,3,Ag_O1P2,
Ag,3,Ag_O1S2,
Ag,3,Ag_O2P1,
Ag,3,Ag_O2S1,
Ag,3,Ag_O3,
Ag,3,Ag_P1S2,
Ag,3,Ag_P2S1,
Ag,3,Ag_P3,
Ag,3,Ag_S3,
Ag,4,Ag_B1C1N1O1,
Ag,4,Ag_B1C1N1P1,
Ag,4,Ag_B1C1N1S1,
Ag,4,Ag_B1C1N2-hex,-hex
Ag,4,Ag_B1C1N2-opp,-opp
Ag,4,Ag_B1C1N2-pen,-pen
Ag,4,Ag_B1C1O1P1,
Ag,4,Ag_B1C1O1S1,
Ag,4,Ag_B1C1O2-hex,-hex
Ag,4,Ag_B1C1O2-opp,-opp
Ag,4,Ag_B1C1O2-pen,-pen
Ag,4,Ag_B1C1P1S1,
Ag,4,Ag_B1C1P2-hex,-hex
Ag,4,Ag_B1C1P2-opp,-opp
Ag,4,Ag_B1C1P2-pen,-pen
Ag,4,Ag_B1C1S2-hex,-hex
Ag,4,Ag_B1C1S2-opp,-opp
Ag,4,Ag_B1C1S2-pen,-pen
Ag,4,Ag_B1C2N1-hex,-hex
Ag,4,Ag_B1C2N1-opp,-opp
Ag,4,Ag_B1C2N1-pen,-pen
Ag,4,Ag_B1C2O1-hex,-hex
